DNI,Apellidos,Nombre,Sexo,Salario,CP,Provincia
58070515T,Sáez Castro,Álvaro,H,3046.34€,39,Cantabria
77647307C,López Vivas,María Cristina,M,1183.1€,28,Madrid
65014639X,Manzano Clemente,Elena,M,1697.57€,46,Valencia
67157670Q,Martínez Neira,Leandro,H,1440.36€,33,Asturias
22112994N,Climent Almagro,Adelaida,M,2185.09€,23,Jaén
18724787G,Hueso Molina,Andrés,H,1571.46€,3,Alicante
78598622D,Linares Vázquez,José Antonio,H,2056.44€,28,Madrid
27814007S,Gimeno Villar,Fernanda,M,1010.8€,46,Valencia
17881157Z,Gallego Mateos,Ramón,H,771.5€,11,Cádiz
65211908P,Torres Nieto,Juan Pablo,H,3010.05€,43,Tarragona
35490801F,Jiménez Sanz,Nerea,M,3575.16€,17,Gerona
57525471X,Fernández Rodríguez,Anatolia,M,725.0€,46,Valencia
2634046V,Magdaleno Garrido,Ana María,M,1527.78€,38,Santa Cruz de Tenerife
55205242K,González Andrade,Juan,H,2425.95€,8,Barcelona
63084886A,Mateos Ponce,Abigail,M,1004.33€,7,Baleares
76171485Q,Aizpuru Otero,Norma,M,3545.81€,3,Alicante
58708185H,Cano González,Juan Manuel,H,2139.5€,29,Málaga
9275853E,Antúnez García,Ángeles,M,1536.31€,35,Las Palmas
53651129H,Calvo Pazos,Ismael,H,2486.43€,24,León
2778549B,Gómez Albaladejo,Maricruz,M,1079.14€,24,León
62445759T,González Zafra,Elena,M,2937.84€,30,Murcia
31281504D,Haro Rodríguez,Carmen,M,1752.19€,46,Valencia
95928415S,Vera Romero,Óscar,H,2610.94€,8,Barcelona
4838848Q,López Vargas,Mayte,M,2325.63€,8,Barcelona
38676233P,Jerez Amador,Germán,H,3070.11€,31,Navarra
48161743L,Carrasco Cano,Manuel,H,646.21€,8,Barcelona
9950125A,Cano Gallego,Nicolasa,M,2116.54€,28,Madrid
70026947C,Vázquez Gomáriz,María Paz,M,2137.51€,56,Valencia
38968626W,Bustamante García,Dalmacio,H,3340.76€,46,Valencia
64457406K,Paredes Moreno,Alfonso,H,3016.29€,29,Málaga
86455770N,García Grela,Santiago,H,3155.87€,11,Cádiz
29425308M,Gómez Rubio,Lorena,M,1009.85€,28,Madrid
54234811Y,Guillén Álvarez,Marcos,H,2817.78€,43,Tarragona
66378202H,Monge Rodríguez,Rosana,M,904.83€,28,Madrid
59291067B,Rodríguez Garrido,Ana,M,717.67€,29,Málaga
87638843B,García Gutiérrez,Albano,H,3303.55€,50,Zaragoza
79002628C,Belenguer Santana,Vicente,H,2493.77€,30,Murcia
28698973X,Encinas del Campo,Marco Antonio,H,2291.3€,41,Sevilla
50624960M,Ruiz Gutiérrez,Yolanda,M,3260.6€,30,Murcia
50823329E,Reyes Bravo,Rosana,M,2996.25€,32,Ourense
85790779C,Rosselló González,Damián,H,1766.7€,7,Baleares
55597324E,Costas Suárez,Santiago,H,2565.44€,47,Valladolid
24612864N,Blanco Moro,Benjamín,H,854.44€,35,Las Palmas
88671944K,González Arias,Adriano,H,2587.71€,6,Badajoz
43505812R,Jiménez Álvarez,Manuel,H,3262.05€,24,León
23752328K,Martínez Aragón,Ismael,H,1309.64€,31,Navarra
65311167E,Postigo Alos,Olga,M,1146.87€,46,Valencia
20798822Z,García Navarro,Flavio,H,2847.52€,5,Ávila
23644757K,Uria Blanco,Sheila,M,2556.23€,8,Barcelona
92606010Y,Arjona Zambrano,Agripina,M,1370.91€,3,Alicante
59198847K,Bayona Martínez,Adriano,H,1277.67€,20,Guipúzcoa
81727950A,Pinto Sánchez,Emilio,H,2686.14€,3,Alicante
82325262M,Azcona Pascual,Ruth,M,2680.44€,51,Ceuta
2646424K,Navarro Rubio,David,H,2686.29€,50,Zaragoza
11587816W,López Alberca,Daniel,H,2447.13€,11,Cádiz
91840357T,Castellano Pazos,Francisco Manuel,H,2553.92€,28,Madrid
84778365C,Gil Huete,Clemente,H,884.65€,18,Granada
97903059V,Jiménez Vilar,Gabriel,H,1840.38€,46,Valencia
59504357E,Barros Naval,Zoe,M,3211.72€,8,Barcelona
44151996T,Moreno Burgueño,Moisés,H,3428.3€,28,Madrid
51927325H,Picazo del Olmo,Cicerón,H,1023.5€,7,Baleares
83552461Q,Rojo Ruiz,Apeles,H,1879.28€,14,Córdoba
61299901W,Giner Rueda,Zoraida,M,2727.49€,46,Valencia
8689306K,Ariza de Miguel,Santiago,H,635.7€,3,Alicante
56039174L,Navarro Mas,Belén,M,1088.6€,48,Vizcaya
63613880C,Maroto López,Federico José,H,1482.62€,29,Málaga
45300010S,Prieto Iturralde,Aurora,M,1090.45€,12,Castellón
57498951D,Saldaña Blázquez,Alberto,H,2472.61€,25,Lérida
74174004Q,Martínez Serra,Tatiana,M,2856.37€,35,Las Palmas
97171864S,García Gil,José Luis,H,3203.76€,18,Granada
86226402T,Hernández Romero,Alexia,M,1633.03€,33,Asturias
23972757H,García Valero,Sebastián,H,1839.18€,43,Tarragona
24270230D,Moreno Saldaña,Ramiro,H,2346.06€,28,Madrid
64394708K,Barrero Parra,Katherine,M,2127.49€,28,Madrid
48927490G,Moreno Palomo,Juan Marcos,H,3527.02€,43,Tarragona
30188422W,Moreno Khan,Francisco Javier,H,2879.02€,31,Navarra
59192344G,Fenoll Arellano,Mónica,M,2789.24€,7,Baleares
45824709S,Suero Pérez,Inmaculada,M,966.22€,32,Ourense
94128707B,Gil López,Corín,M,3315.83€,18,Granada
45361080C,Expósito Gil,Honorato,H,2930.48€,2,Albacete
78931037M,Regalado López,Juan,H,1100.48€,8,Barcelona
89998206B,Bustos Moreno,Sara,M,3316.92€,18,Granada
80464806L,Cruz García,Javier,H,2052.63€,12,Castellón
77270357V,Riera Rodríguez,Juan Carlos,H,2937.31€,39,Cantabria
40383721E,Mondéjar Muñoz,Loreto,M,3407.98€,3,Alicante
75410450M,Paniagua Sánchez,Piedad,M,2535.13€,3,Alicante
20981873P,Calvo Sánchez,Gerardo,H,3555.8€,15,La Coruña
46672046D,Pérez Fernández,Diana,M,840.72€,11,Cádiz
97756882M,Maya Mohamed,Celeste,M,2053.6€,32,Ourense
63172295N,Torres Rondón,Ruth,M,2446.79€,34,Palencia
60597809P,Jurado Durán,Dafne,M,909.5€,29,Málaga
52223129L,Sánchez Zamora,Susana,M,1380.17€,41,Sevilla
94619909W,Aguilera Gil,Almudena,M,2603.67€,30,Murcia
86412849D,Romero Santaella,Mario,H,2914.37€,3,Alicante
33685642A,González Morillas,José Luis,H,734.49€,28,Madrid
343330D,Fuentes Cuevas,Mónica,M,1166.61€,36,Pontevedra
51003339B,Orellana Moreno,Kati,M,824.83€,14,Córdoba
31564143R,Morales García,Miguel Angel,H,3101.2€,31,Navarra
37994903F,Martínez Valles,Pascual,H,2933.04€,8,Barcelona
50705954Q,Vila Cabezas,Froilán,H,859.82€,4,Almería
45672762Y,Pousa Reyes,Bienvenido,H,2273.69€,21,Huelva
35120975K,Santana Bustamante,Soraya,M,1136.1€,38,Santa Cruz de Tenerife
22552066Z,Ribas Castro,Juan Manuel,H,2571.95€,18,Granada
13695317J,Expósito Herrador,María Victoria,M,2780.39€,8,Barcelona
84822867V,Puerto Hernández,Judith,M,1124.64€,38,Santa Cruz de Tenerife
47301129L,Paya Valles,Guillermo,H,770.32€,4,Almería
32981797G,Martín López,Rebeca,M,3308.5€,8,Barcelona
31187534V,Santos Campos,María Victoria,M,2317.22€,46,Valencia
73924443M,Muñoz Matamoros,Rubén,H,1116.85€,15,La Coruña
1238112E,Carbonell Ara,Bernardo,H,2539.15€,30,Murcia
87866607Y,Muñiz Sánchez,Rafael,H,1287.02€,28,Madrid
76406056X,Jerez Freire,Julián,H,1052.98€,8,Barcelona
69320381Z,Contreras Conesa,José,H,1039.76€,8,Barcelona
72920700M,Romeo Arenas,Araceli,M,2893.55€,47,Valladolid
74313190Y,Arroyo Rodríguez,Azucena,M,1737.28€,8,Barcelona
22372796Y,Andrés Olmedo,Juan Ignacio,H,1622.64€,20,Guipúzcoa
80405035W,Delgado Escribano,Mauro,H,995.54€,28,Madrid
23050516P,Vázquez Rodríguez,Federica,M,2749.6€,10,Cáceres
49819617F,Villar Cruz,Rodrigo,H,1590.86€,19,Guadalajara
51620256E,Segura Marqués,Tamara,M,1944.27€,28,Madrid
21834611K,González García,Bartolomé,H,777.77€,48,Vizcaya
77320971P,Oviedo Jiménez,Estrella,M,2919.09€,11,Cádiz
20838243J,Escribano Fabregas,Esther,M,2297.92€,8,Barcelona
12349602M,Herrera Laborda,Nicanor,H,616.6€,28,Madrid
78204404B,Ponte Fuertes,Carolina,M,3087.2€,46,Valencia
26327848R,Fernández Montes,Marina,M,929.8€,43,Tarragona
36105030K,Pescador Rivas,Roberto,H,674.25€,8,Barcelona
68114164D,Conde Portilla,Silvia Belén,M,964.36€,49,Zamora
40992208K,González Ibáñez,Esther,M,968.75€,28,Madrid
10403955C,Silva Muñoz,Agueda,M,2821.54€,29,Málaga
84856731W,Ballester Rubio,Alba,M,1037.1€,28,Madrid
39377307L,Borrell Fuentes,Raquel,M,3430.01€,14,Córdoba
9305234D,Martínez García,Carmen,M,798.06€,24,León
98127162P,Mesa Peláez,Anastasia,M,612.34€,41,Sevilla
26483188E,González Sierra,Romeo,H,3098.5€,26,La Rioja
95938275P,del Campo Suárez,Aida,M,1759.87€,15,La Coruña
12081413L,Navarro Toro,Rodrigo,H,3371.66€,50,Zaragoza
70083302W,García Villanueva,Agustín,H,2268.76€,48,Vizcaya
98962750Y,Martí Balaguer,Lorena,M,1075.6€,28,Madrid
29239025E,León Robles,África,M,2712.49€,41,Sevilla
9884048M,Tizon Garay,Diana,M,1161.58€,8,Barcelona
81672353C,Maillo Diéguez,AiNMoa,M,2185.25€,28,Madrid
58604641C,Puertas Muriel,Anastasia,M,1250.37€,21,Huelva
12959649T,Ríos Robles,Alfonso,H,2829.0€,28,Madrid
69292167K,Torres Rodríguez,Ana Cecilia,M,2583.14€,28,Madrid
328403D,Sáez Sánchez,Helga,M,2379.6€,11,Cádiz
93172833V,Medina Naranjo,Santiago,H,2764.61€,45,Toledo
49079516T,Rodríguez Silvestre,Sebastián,H,3147.72€,6,Badajoz
72127154M,Díez Pérez,Clara,M,2194.46€,4,Almería
93480897L,Rubio Márquez,Noelia,M,845.0€,7,Baleares
24391811N,Sánchez Barba,Daniel,H,2770.98€,9,Burgos
94725791S,Losada Coronado,Virginia,M,1619.39€,41,Sevilla
25369578A,Merino Valdivia,Néstor,H,3096.25€,29,Málaga
83916745A,González Claro,Jaime,H,763.73€,46,Valencia
74135374A,Alfonso Alonso,Antonio,H,1177.37€,28,Madrid
72650513E,Sánchez Vidal,Marta,M,1384.74€,28,Madrid
75608329S,Casamayor Gámez,Miguel,H,1432.67€,18,Granada
88909802J,Duro Aroca,Sonia,M,1583.57€,3,Alicante
11275392X,Tercero Jiménez,Pablo,H,1118.96€,3,Alicante
85071936L,Martínez Serrano,Ana,M,3012.57€,8,Barcelona
4227572B,Ortiz Moreno,Jorge,H,807.01€,47,Valladolid
18566416B,Calleja López,David,H,3285.03€,46,Valencia
23218236N,Etxebarria Escalante,Sergio,H,2971.35€,48,Vizcaya
76885417M,González Fraile,Dionisio,H,1264.13€,18,Granada
86275167M,Hernández Zambrana,María José,M,620.28€,15,La Coruña
27292602C,González López,Nicolasa,M,3526.01€,21,Huelva
67582368L,López Díaz,Rebeca,M,2177.97€,28,Madrid
29893602L,Portas Borges,Selena,M,1949.08€,13,Ciudad Real
37069641N,Hernández Sanz,Juan,H,816.25€,7,Baleares
90120575C,Olmedo Domínguez,María Celia,M,740.01€,27,Lugo
55271376F,Rodríguez López,Leticia,M,3406.14€,17,Gerona
14725214Q,Ferrández Baz,José Alberto,H,2967.92€,48,Vizcaya
46090932J,Morales Juárez,Belén,M,2273.74€,2,Albacete
12839309L,Álvarez Arregui,Norberto,H,2685.04€,11,Cádiz
96372495B,Lahoz Sanz,Raúl,H,1568.77€,43,Tarragona
81506325Y,Cabrera Soriano,Pablo Miguel,H,697.97€,8,Barcelona
7563526E,Rodríguez Manso,Julio,H,3124.4€,7,Baleares
81455842P,Torner García,Marcelino,H,3392.55€,28,Madrid
4861437L,Montero Gómez,María Ángeles,M,3052.21€,13,Ciudad Real
34117456S,Castejón Cabrera,Teobaldo,H,1472.21€,46,Valencia
1378804T,Fontanet Florido,Fortunata,M,3594.23€,38,Santa Cruz de Tenerife
12471166Z,Baz Domínguez,Paulo,H,2948.87€,8,Barcelona
7020185X,Jiménez Tortosa,Antonio,H,3075.92€,46,Valencia
6014407E,Riera Hermida,Estíbaliz,M,2024.71€,8,Barcelona
56616744J,Reina Navarro,Yedra,M,2567.07€,28,Madrid
80786393C,Santos Cervera,Juan,H,2056.53€,15,La Coruña
31775100W,Aguilar Pereiro,Omar,H,3475.65€,20,Guipúzcoa
38110265R,González González,Kasinda,M,3431.37€,50,Zaragoza
42915403W,Casanovas Sáenz,Sandra,M,2950.73€,36,Pontevedra
76762107K,Jiménez Caro,José,H,1868.81€,6,Badajoz
78838578Y,Álvarez Abad,Natalia,M,1349.4€,8,Barcelona
51110576E,Martínez de Blas,Patricia,M,1261.4€,45,Toledo
82299828D,Chacón Llinares,Enrique,H,2088.83€,28,Madrid
78035723N,López Safont,Alba,M,1167.52€,8,Barcelona
62588136F,Ramos Cruz,Virgilio,H,2934.14€,8,Barcelona
5963130N,Montoya Abadía,Gilda,M,3372.68€,28,Madrid
55820449R,Casas Martínez,Aarón,H,1906.51€,8,Barcelona
15158755F,Iglesias Ilie,Aurelio,H,2563.1€,48,Vizcaya
16042766J,Corral Ballester,Elvira,M,2791.15€,41,Sevilla
56728441E,García Piñero,Alfonso,H,1033.13€,3,Alicante
95464121E,Chamizo García,Elena,M,3203.03€,31,Navarra
62947890H,Martín León,Manuel,H,3035.19€,8,Barcelona
10096990J,Sánchez Sánchez,Fernando,H,1869.16€,13,Ciudad Real
20196460E,Mendizábal Marqués,Mariano,H,1830.45€,43,Tarragona
2289436Q,Pérez Medina,Henar,M,1511.68€,18,Granada
1650878F,Sánchez López,Celia,M,1803.13€,46,Valencia
98348977B,Insua Martínez,Rafael,H,3286.82€,41,Sevilla
15969599D,Ramos Gonzálvez,Augusto,H,1144.45€,28,Madrid
16601051L,Otero Alacid,Fernando,H,1235.22€,8,Barcelona
63610135R,Castro Poyatos,Isabel,M,3217.67€,15,La Coruña
37409799T,Patiño Lozano,Fermín,H,1729.79€,11,Cádiz
69501723R,Morilla Santos,Bonifacio,H,1798.31€,11,Cádiz
85216200G,Madera López,Rafael,H,1334.41€,27,Lugo
12064164C,Fernández Soriano,Liborio,H,1098.82€,38,Santa Cruz de Tenerife
56506640X,Noriega Hueso,Federico José,H,1192.79€,46,Valencia
18727255B,Rodríguez Velasco,Jeremías,H,879.89€,14,Córdoba
24489718P,Rey Aguilar,Lara,M,1697.9€,27,Lugo
89058763A,Martín Ayllón,Gustavo,H,709.34€,20,Guipúzcoa
58493708Q,Moreno Velarde,María Victoria,M,2413.0€,33,Asturias
22434047P,González García,María Ángeles,M,1628.84€,46,Valencia
65752265A,Gila Sánchez,Ángel,H,1453.53€,8,Barcelona
19147167N,Castro Tudela,José Carlos,H,1349.18€,24,León
27060159S,Segura García,Vanesa,M,1738.71€,3,Alicante
35428291B,Redondo Marfil,David,H,722.29€,29,Málaga
92179698E,Toledo Losada,Yolanda,M,2894.13€,29,Málaga
64640152D,Parras Jiménez,Araceli,M,3383.46€,28,Madrid
91975352P,González Vargas,Sonia,M,1355.92€,6,Badajoz
91809176F,Hortelano Corzo,Óscar,H,3259.21€,48,Vizcaya
32849811S,Ivanov Pastor,Ricardo,H,2385.21€,27,Lugo
96624332K,Fleitas Otero,Germán,H,2374.84€,46,Valencia
65637336M,Juan Álvarez,Rocío,M,2755.56€,28,Madrid
23315584R,Cepeda Calatayud,Carmén Esperanza,M,3243.02€,35,Las Palmas
70855927B,Díez Fernández,Germán,H,1597.84€,28,Madrid
73798745W,Romero García,Paloma,M,880.99€,48,Vizcaya
9991404C,Flores Gómez,Tobías,H,1064.89€,38,Santa Cruz de Tenerife
34726645A,Fernández García,Henar,M,1391.89€,48,Vizcaya
47835184Z,Blanco Rodríguez,Soraya,M,1666.22€,17,Gerona
8386959D,Gil Pena,Merced,M,2398.54€,30,Murcia
23061244H,Polo Carreras,Carlos,H,3389.65€,28,Madrid
62692488P,González Jiménez,Bienvenido,H,1667.93€,43,Tarragona
7132524V,Fernández Castro,Javier,H,1408.31€,17,Gerona
44963948Y,Ruiz Olmos,José María,H,887.08€,47,Valladolid
48886015K,Zorrilla Tellechea,Lourdes,M,2616.72€,41,Sevilla
58141051H,Díaz Grau,Guillermo,H,1009.28€,30,Murcia
12059779M,Calvo Perea,Martín,H,1566.56€,28,Madrid
83993966J,García Parras,Óscar,H,2290.42€,37,Salamanca
13582485L,Durán Fuentes,Wenceslao,H,3212.37€,37,Salamanca
55551372R,Ramos Gómez,Jésica,M,2372.85€,31,Navarra
4322466F,Ramos Seoane,Silvia,M,1126.64€,46,Valencia
47207753T,Sánchez Gómez,Leonardo,H,3486.57€,41,Sevilla
73552093W,Benítez Morales,Gregorio,H,2417.16€,8,Barcelona
24903295E,Benavente Hernández,Alejandro,H,3351.13€,38,Santa Cruz de Tenerife
30675201D,Bonet Poveda,Rosalba,M,1154.14€,9,Burgos
6654364G,Arcos Suárez,Adriana,M,2144.16€,28,Madrid
29528674D,Felipe Martínez,María,M,1886.18€,29,Málaga
44008036C,Méndez Gómez,Jezabel,M,2312.67€,29,Málaga
63229951F,León García,Macarena,M,1251.7€,16,Cuenca
83345008T,Ríos Esteban,AiNMoa,M,2039.96€,17,Gerona
12213225H,Gutiérrez García,Óscar,H,1251.87€,30,Murcia
80193657V,Moya Guzmán,Silvia,M,3233.76€,25,Lérida
70579561J,Sayago Gómez,Sara,M,684.02€,45,Toledo
64863278N,García Pastor,Carolina,M,2500.59€,14,Córdoba
81668039F,Guerrero Roselló,Ramiro,H,1296.79€,50,Zaragoza
30963924J,Martínez Rodríguez,Juan José,H,2137.9€,17,Gerona
63012354J,Ruiz López,Eugenio,H,1443.35€,24,León
94148174C,González Briones,Marta,M,771.23€,4,Almería
3443160Z,López Gomila,Miriam,M,2414.82€,28,Madrid
43268626Z,Ortega Muñoz,Javier,H,2339.85€,8,Barcelona
35581802C,Cubas Blasco,Fabián,H,2035.0€,10,Cáceres
43863419G,Romero Jurado,María Esperanza,M,2285.05€,31,Navarra
69584006J,Guerrero Perdomo,Greta,M,811.69€,8,Barcelona
10417997D,Suárez Gómez,Federico,H,1502.5€,43,Tarragona
67658628B,Zayas Fernández,Ignacio,H,1550.6€,6,Badajoz
12348475M,Yeste Jiménez,Ángel,H,1008.92€,41,Sevilla
22219719V,Fuente Sánchez,Cristina,M,3449.57€,7,Baleares
34443273Z,Vilardell Fernández,Óscar,H,1857.84€,12,Castellón
6830902V,García Sánchez,Gustavo Adolfo,H,1666.14€,11,Cádiz
58103865T,Sánchez Granado,Begoña,M,1275.04€,38,Santa Cruz de Tenerife
11357635M,Quintana Hortal,Victor Manuel,H,1075.36€,8,Barcelona
39850139V,Herráez Quintanilla,Vanesa,M,1816.98€,3,Alicante
68631040Y,Pérez Fullana,Ángel,H,1552.18€,12,Castellón
30095275M,Pereira Morales,Nieves,M,1771.85€,12,Castellón
76809991L,Alonso Peláez,Juan Manuel,H,1788.39€,12,Castellón
32231156Z,González Forero,Agripina,M,1599.75€,1,Álava
21556856Z,Perales Cañizares,Roberto,H,3315.92€,23,Jaén
50868034S,Ramos Yague,Jaime,H,664.42€,46,Valencia
86854818X,Gómez García,Begoña,M,2501.09€,46,Valencia
12097973L,González Cañada,Onésimo,H,3450.72€,8,Barcelona
99217112B,Tarín Barrientos,Mafalda,M,2507.39€,8,Barcelona
68545610K,García Doménech,Esteban,H,1140.93€,23,Jaén
93283723R,Martínez Iriarte,Eva,M,2324.35€,30,Murcia
80563512D,Lacalle Guerrero,Rodrigo,H,3476.38€,51,Ceuta
88170297G,Donate Font,María Azucena,M,3416.69€,14,Córdoba
12242716T,Martí Hernández,Fernando,H,2040.67€,10,Cáceres
73915059M,Chen Espinosa,Piedad,M,3369.74€,41,Sevilla
9148939E,Pérez Nieto,María Paula,M,3137.24€,39,Cantabria
81138639K,Sánchez Rubio,Mariana,M,2364.8€,29,Málaga
63255715B,García Molina,Jorge,H,608.49€,38,Santa Cruz de Tenerife
29451737F,Murillo Benítez,Araceli,M,701.72€,50,Zaragoza
91009713R,Sevilla García,Guadalupe,M,2958.74€,46,Valencia
60767632E,Fuentes Rada,Máximo,H,1946.98€,46,Valencia
91600052E,Martínez Barreiro,Karen,M,2841.56€,28,Madrid
81738757T,López Chavarria,Belén,M,3195.46€,3,Alicante
45269566T,Martín María,Selena,M,1086.58€,35,Las Palmas
88964666E,Radu Santos,Milagros,M,2226.4€,10,Cáceres
4046400X,Cantalejo Acebes,Aparicio,H,3346.41€,28,Madrid
85026278Q,Valverde Rivero,Iván,H,859.67€,8,Barcelona
9920797T,Vila Murillo,Paulino,H,904.72€,30,Murcia
21088579V,Navarro Álvarez,Emilia,M,2194.42€,23,Jaén
5764322Q,Carneiro Gómez,Álex,H,2107.68€,26,La Rioja
10769848Y,López Guerra,Lidia,M,2768.7€,14,Córdoba
31893751L,Cámara Jiménez,Belén,M,1058.41€,45,Toledo
42875296F,Fernández Matos,Luis Miguel,H,3414.98€,50,Zaragoza
93014224Q,Pérez Moreno,Félix Antonio,H,1084.6€,29,Málaga
99800182P,Pérez Ramos,Pascual,H,3114.5€,28,Madrid
45417973B,Pérez Giménez,Ana,M,2879.77€,29,Málaga
40972954H,Martín Freire,Patricia,M,2651.99€,38,Santa Cruz de Tenerife
69035430X,Fernández Alcolea,Guillermo,H,1097.19€,2,Albacete
93370686R,Algar Izquierdo,Adriano,H,2036.42€,28,Madrid
21691950Y,Moreno Romero,Montserrat,M,2400.05€,36,Pontevedra
65323194C,Garzón Amaya,Cayetano,H,3442.26€,6,Badajoz
9360256S,Casanova Pereira,Miguel,H,2041.17€,50,Zaragoza
56641676J,Ortiz Guerra,Ana Sonia,M,1815.5€,21,Huelva
74147976R,Pizarro Espinoza,Luis Félix,H,850.59€,8,Barcelona
23363625H,Pérez López,María Celia,M,3020.01€,15,La Coruña
96240937J,Miranda Ortega,Martín,H,2079.25€,37,Salamanca
94586023H,Doblas Ruiz,Eva María,M,729.95€,45,Toledo
14243161C,López Salmerón,Ariana,M,1803.1€,41,Sevilla
62139682F,Martín Márquez,Raúl,H,2725.56€,41,Sevilla
94708364E,Varela Martínez,Angelines,M,3095.69€,28,Madrid
31101769L,Fernández Herrera,Javier,H,2359.72€,9,Burgos
72727139N,Rivero Ibáñez,Melodie,M,1880.77€,4,Almería
44902460C,Fidalgo García,Andrés,H,2036.78€,20,Guipúzcoa
54988556H,Quintana Gómez,Beatriz,M,3372.47€,18,Granada
77292991L,Domínguez Sánchez,Susana,M,1400.39€,28,Madrid
30731567W,Muñoz Otero,José Luis,H,2282.67€,48,Vizcaya
13632287A,Calvo López,Bibiana,M,1650.54€,33,Asturias
97584869D,Cantero Sánchez,Gonzalo,H,2146.95€,28,Madrid
54431034Q,Catalán Pacheco,Rodrigo,H,2100.61€,14,Córdoba
43796058X,Serena Martínez,Federico José,H,1207.1€,28,Madrid
48166189A,Gómez Sánchez,Ramiro,H,1610.43€,28,Madrid
68290946J,Baena de la Rosa,Marcos,H,1444.85€,47,Valladolid
61033933Y,Sales Fernández,María de la Gracia,M,3271.85€,28,Madrid
90089683V,González García,Diana,M,633.18€,29,Málaga
86220609A,Ortega Junquera,Roberto,H,1327.77€,2,Albacete
40731451S,Pascual Nieto,Isidro,H,3346.66€,28,Madrid
81802714V,Ferrón Franco,Carlos,H,3435.91€,23,Jaén
31606734L,Ortega Rodríguez,Rodrigo,H,1825.73€,8,Barcelona
56589015E,García Salvador,César,H,2474.61€,28,Madrid
93734688M,Silva Torres,Mónica,M,2641.59€,28,Madrid
28828979C,Díez Sanz,Carlos,H,3072.7€,28,Madrid
44009963S,Berenguel López,Félix José,H,3364.48€,15,La Coruña
157408L,Gutiérrez Torres,María Remedios,M,1140.72€,52,Melilla
99923179R,Núñez Ubeda,Benjamín,H,1650.47€,22,Huesca
82538985N,Leiva Álvarez,Lucas,H,2109.77€,28,Madrid
47064060B,Cámara Pons,Henar,M,3466.84€,28,Madrid
10118876A,Díaz Aguilar,Romina,M,1340.68€,8,Barcelona
30365362A,Gutiérrez Fernández,Ándoni,H,2857.13€,28,Madrid
61265229Z,Murillo Sosa,Melquiades,H,1754.89€,30,Murcia
53246637G,Díaz García,Andrés,H,1872.32€,29,Málaga
13881765T,Naranjo Luengo,Manuel Jesús,H,1932.88€,8,Barcelona
7963567R,Arias Lorenzo,Marta,M,2877.7€,46,Valencia
94137274E,Tortosa Hernández,Alfonsa,M,2514.3€,41,Sevilla
47143521F,Campoy Ruiz,Luis Miguel,H,1586.85€,33,Asturias
44654225R,Villa Pop,Estanislao,H,3269.14€,46,Valencia
29460508S,González Martínez,Elías,H,2217.96€,48,Vizcaya
2159421C,Martos Fernández,Nerea,M,1761.55€,7,Baleares
12629740A,Gimeno García,Homero,H,3347.07€,14,Córdoba
10551195Z,Rosario Climent,Dorian,H,3431.57€,37,Salamanca
22528461F,Hernández Rial,Celia,M,1221.22€,48,Vizcaya
6893504J,Vilar Espadas,Esther,M,1525.8€,20,Guipúzcoa
38607003P,Palomino Lara,Nicolás,H,1757.08€,28,Madrid
63308202N,Carmona Bustamante,Damián,H,732.81€,43,Tarragona
10362456J,Moreno Velasco,Antonio,H,2592.4€,3,Alicante
85090968F,Yubero León,Julieta,M,1253.09€,8,Barcelona
57213168R,Dueñas Romero,Fabiola,M,1674.51€,11,Cádiz
97299592R,Rodríguez Negre,Simón,H,3256.22€,41,Sevilla
21530730Q,Blanco Rodríguez,Emilia,M,1898.84€,10,Cáceres
70919124G,Otero Rodríguez,Eugenio,H,3160.7€,25,Lérida
938556H,Clemente Bilbao,Diego,H,1577.72€,8,Barcelona
72547081K,García Oses,Rebeca,M,3594.58€,11,Cádiz
7542807A,Galán Martín,Helga,M,2493.99€,2,Albacete
75102220K,Miranda Ramos,Mónica,M,1451.78€,5,Ávila
6978630Q,Rodríguez Velasco,Jesús,H,1332.71€,41,Sevilla
52767884L,Castro Sanmartín,Óscar,H,2608.75€,8,Barcelona
14677541E,Garrido Cabezas,Fernando,H,3387.69€,8,Barcelona
42348842T,Gil Guerrero,Karla,M,1086.43€,18,Granada
48422014E,Marín Muñoz,Nerea,M,996.02€,12,Castellón
81249833X,Pérez Alcalá,Esperanza,M,972.29€,20,Guipúzcoa
70502F,Rojas Rivera,Rosana,M,1694.68€,28,Madrid
4862846W,de la Cruz Morales,Mirena,M,2015.2€,29,Málaga
32517393Q,Portero García,Félix,H,1038.79€,43,Tarragona
83454264Y,Silvestre Arias,Eloy,H,3493.53€,50,Zaragoza
84892166V,Raventós González,Marcos,H,1432.96€,46,Valencia
10535866A,Trigo Andrés,Chenoa,M,1772.36€,43,Tarragona
76282342J,López Ramírez,Sergio,H,657.68€,3,Alicante
85735741K,Frutos Pérez,José Guillermo,H,713.31€,28,Madrid
99655311Z,Rivero Arredondo,Josué,H,1614.43€,8,Barcelona
9595194P,Moreno Mayo,Silvia,M,2098.5€,43,Tarragona
49111692E,Manzano Balde,Balbina,M,649.58€,29,Málaga
74430874E,Reche Galán,Diana,M,1064.9€,28,Madrid
98272146T,Claveria Rivera,Andrei,H,2772.31€,8,Barcelona
73031607Y,Pinilla Puche,Cecilia,M,2816.02€,37,Salamanca
60812557M,Portillo del Amo,Raquel,M,2670.19€,29,Málaga
88806890A,Jaen Nuez,Julio,H,1951.77€,48,Vizcaya
